کد نماد	گروه	گروه های صنعت	تابلو	نماد	نام لاتین	نماد	نام
IRR1PJMZ0101	N2	محصولات شيميايي	فهرست اوليه	PJMX1	Jam Petr - R	جمح	ح . پتروشيمي جم
IRO1OFST0001	N2	انتشار، چاپ و تکثير	فهرست اوليه	OFST1	Offset	چافست	افست‌
IRR1OFST0101	N2	انتشار، چاپ و تکثير	فهرست اوليه	OFSX1	Offset-R	چافستح	ح . افست‌
IRO1BPRS0001	N2	محصولات كاغذي	فهرست اوليه	BPRS1	Pars Packing	چبسپا	بسته‌ بندي‌ پارس‌
IRR1BPRS0101	N2	محصولات كاغذي	فهرست اوليه	BPRX1	Pars Packing-R	چبسپاح	ح . بسته‌ بندي‌ پارس‌
IRO1CHDN0001	N1	ساخت محصولات فلزي	تابلو اصلي	CHDN1	producing CHDN	چدن	توليدي چدن سازان
IRO1FIBR0001	N2	محصولات چوبي	فهرست اوليه	FIBR1	Iran Board	چفيبر	فيبر ايران‌
IRR1FIBR0101	N2	محصولات چوبي	فهرست اوليه	FIBX1	Iran Board-R	چفيبرح	ح . فيبر ايران‌
IRO1KAPA0011	N2	محصولات كاغذي	فهرست اوليه	KAPA1	Pars Paper Ind.Grp	چكاپا	گروه صنايع كاغذ پارس
IRO1KMSH0001	N2	محصولات كاغذي	فهرست اوليه	KMSH1	Mashad Carton	چكارم	كارتن‌ مشهد
IRR1KMSH0101	N2	محصولات كاغذي	فهرست اوليه	KMSX1	Mashad Carton-R	چكارمح	ح . كارتن‌ مشهد
IRO1KRTI0001	N2	محصولات كاغذي	فهرست اوليه	KRTI1	Iran Carton	چكارن	كارتن‌ ايران‌
IRR1KRTI0101	N2	محصولات كاغذي	فهرست اوليه	KRTX1	Iran Carton-R	چكارنح	ح . كارتن‌ ايران‌
IRO1KSKA0001	N2	محصولات كاغذي	فهرست اوليه	KSKA1	Kaveh Paper	چكاوه	صنايع‌كاغذسازي‌كاوه‌
IRR1KSKA0101	N2	محصولات كاغذي	فهرست اوليه	KSKX1	Kaveh Paper-R	چكاوهح	ح . صنايع‌كاغذسازي‌كاوه‌
IRO1NEOP0001	N2	محصولات چوبي	فهرست اوليه	NEOP1	Bahman Neopan	چنوپا	نيوپان‌ 22 بهمن‌
IRR1NEOP0101	N2	محصولات چوبي	فهرست اوليه	NEOX1	Bahman Neopan-R	چنوپاح	ح . نيوپان‌ 22 بهمن‌
IRS4HAMI0121	1N	واسطه‌گري‌هاي مالي و پولي	ابزار مشتقه	HAMI1	Hami-14010231	حامي1401	اختيارف ت حامي-1401/02/31
IRO1HJPT0001	N2	حمل ونقل، انبارداري و ارتباطات	فهرست اوليه	HJPT1	Petr. Tran.	حپترو	حمل و نقل پتروشيمي( سهامي عام
IRR1HJPT0101	N2	حمل ونقل، انبارداري و ارتباطات	فهرست اوليه	HJPX1	Petr. Tran.-R	حپتروح	ح . حمل و نقل پتروشيمي
IRO1TAYD0001	N1	حمل ونقل، انبارداري و ارتباطات	تابلو اصلي	TAYD1	Tidewater	حتايد	تايدواترخاورميانه
IRR1TAYD0101	N1	حمل ونقل، انبارداري و ارتباطات	تابلو اصلي	TAYX1	Tidewater-R	حتايدح	ح . تايدواترخاورميانه‌
IRO1HTOK0001	N2	حمل ونقل، انبارداري و ارتباطات	فهرست اوليه	HTOK1	Tuka Trans.	حتوكا	حمل‌ونقل‌توكا
IRR1HTOK0101	N2	حمل ونقل، انبارداري و ارتباطات	فهرست اوليه	HTOX1	Tuka Trans.-R	حتوكاح	ح . حمل‌ونقل‌توكا
IRO1HFRS0001	N2	حمل ونقل، انبارداري و ارتباطات	فهرست اوليه	HFRS1	Khalij Fars Trans	حفارس	حمل و نقل بين المللي خليج فارس
